battle_id,attacker_name,defender_name,winner_name,attacker_bst,defender_bst,type_multiplier,attacker_type,defender_type,battle_date
30,venusaur,nidorina,nidorina,525,365,0.5,grass,poison,2025-06-06
31,bellsprout,grimer,bellsprout,300,325,0.5,grass,poison,2025-07-28
32,zubat,seadra,zubat,245,440,1.0,poison,water,2025-10-24
33,magikarp,paras,paras,200,285,1.0,water,bug,2026-01-12
34,ponyta,gyarados,gyarados,410,540,0.5,fire,water,2025-12-19
35,drowzee,golbat,drowzee,328,455,2.0,psychic,poison,2025-06-09
36,bulbasaur,farfetchd,farfetchd,318,377,1.0,grass,normal,2026-01-09
37,haunter,slowpoke,haunter,405,315,1.0,ghost,water,2025-11-04
38,moltres,spearow,moltres,580,262,1.0,fire,normal,2025-07-02
39,pidgeot,porygon,porygon,479,395,1.0,normal,normal,2026-01-01
40,mr-mime,kabutops,mr-mime,460,495,1.0,psychic,rock,2025-06-10
41,koffing,golduck,golduck,340,500,1.0,poison,water,2025-03-19
42,meowth,slowbro,slowbro,290,490,1.0,normal,water,2025-03-29
43,drowzee,chansey,chansey,328,450,1.0,psychic,normal,2025-07-19
44,nidoqueen,kadabra,nidoqueen,505,400,1.0,poison,psychic,2025-09-15
45,charizard,mew,mew,534,600,1.0,fire,psychic,2025-05-10
46,primeape,ivysaur,primeape,455,405,1.0,fighting,grass,2025-04-18
47,pidgey,arcanine,pidgey,251,555,1.0,normal,fire,2026-02-19
48,dodrio,rattata,dodrio,470,253,1.0,normal,normal,2025-10-16
49,electabuzz,golduck,electabuzz,490,500,2.0,electric,water,2025-05-19
50,dragonair,mr-mime,dragonair,420,460,1.0,dragon,psychic,2025-07-08
51,marowak,venomoth,marowak,425,450,0.5,ground,bug,2025-04-04
52,rhyhorn,cloyster,cloyster,345,525,1.0,ground,water,2025-07-11
53,kakuna,raichu,kakuna,205,485,1.0,bug,electric,2025-09-15
54,sandslash,kadabra,sandslash,450,400,1.0,ground,psychic,2025-06-06
55,kangaskhan,clefable,kangaskhan,490,483,1.0,normal,fairy,2025-10-16
56,seaking,kadabra,kadabra,450,400,1.0,water,psychic,2026-01-28
57,tangela,kabutops,tangela,435,495,2.0,grass,rock,2025-04-08
58,omastar,charmander,charmander,495,309,2.0,rock,fire,2025-11-06
59,oddish,marowak,oddish,320,425,2.0,grass,ground,2025-11-18
60,exeggutor,pidgey,exeggutor,530,251,1.0,grass,normal,2026-03-06
61,voltorb,machamp,machamp,330,505,1.0,electric,fighting,2025-07-18
62,geodude,koffing,koffing,300,340,1.0,rock,poison,2025-05-27
63,electabuzz,wigglytuff,electabuzz,490,435,1.0,electric,normal,2025-11-16
64,beedrill,dragonite,dragonite,395,600,1.0,bug,dragon,2026-02-04
65,magnemite,beedrill,magnemite,325,395,1.0,electric,bug,2025-07-06
66,magikarp,flareon,magikarp,200,525,2.0,water,fire,2025-06-20
67,spearow,venonat,spearow,262,305,1.0,normal,bug,2026-02-01
68,poliwhirl,cubone,poliwhirl,385,320,2.0,water,ground,2025-05-20
69,kadabra,dragonite,dragonite,400,600,1.0,psychic,dragon,2025-04-24
70,spearow,lickitung,lickitung,262,385,1.0,normal,normal,2025-05-22
71,vaporeon,magnemite,magnemite,525,325,1.0,water,electric,2025-11-23
72,magnemite,poliwrath,magnemite,325,510,2.0,electric,water,2025-12-30
73,ponyta,goldeen,ponyta,410,320,0.5,fire,water,2026-01-29
74,venusaur,goldeen,venusaur,525,320,2.0,grass,water,2025-05-23
75,raichu,rattata,raichu,485,253,1.0,electric,normal,2025-06-21
76,machamp,nidoking,nidoking,505,505,0.5,fighting,poison,2026-01-31
77,abra,onix,abra,310,385,1.0,psychic,rock,2025-07-26
78,kabuto,rapidash,rapidash,355,500,2.0,rock,fire,2025-04-07
79,flareon,venusaur,venusaur,525,525,2.0,fire,grass,2025-05-28
80,ponyta,sandshrew,sandshrew,410,300,1.0,fire,ground,2025-12-29
81,machamp,nidorina,nidorina,505,365,0.5,fighting,poison,2025-05-28
82,wigglytuff,weepinbell,wigglytuff,435,390,1.0,normal,grass,2025-11-20
83,grimer,persian,persian,325,440,1.0,poison,normal,2025-10-23
84,gyarados,magmar,gyarados,540,495,2.0,water,fire,2026-02-09
85,arbok,koffing,koffing,448,340,0.5,poison,poison,2026-02-13
86,bulbasaur,seel,seel,318,325,2.0,grass,water,2025-04-15
87,machamp,golbat,golbat,505,455,0.5,fighting,poison,2025-05-29
88,weezing,articuno,weezing,490,580,1.0,poison,ice,2026-01-28
89,jigglypuff,kabuto,jigglypuff,270,355,0.5,normal,rock,2025-08-30
90,mewtwo,aerodactyl,mewtwo,680,515,1.0,psychic,rock,2026-01-01
91,metapod,slowpoke,metapod,205,315,1.0,bug,water,2026-02-15
92,gastly,psyduck,psyduck,310,320,1.0,ghost,water,2025-03-31
93,sandshrew,cloyster,cloyster,300,525,1.0,ground,water,2025-08-11
94,wigglytuff,poliwhirl,poliwhirl,435,385,1.0,normal,water,2025-12-07
95,hitmonlee,squirtle,hitmonlee,455,314,1.0,fighting,water,2025-09-18
96,hitmonlee,kadabra,hitmonlee,455,400,0.5,fighting,psychic,2025-03-13
97,sandslash,krabby,krabby,450,325,1.0,ground,water,2025-07-10
98,primeape,meowth,meowth,455,290,2.0,fighting,normal,2025-07-15
99,shellder,slowpoke,slowpoke,305,315,0.5,water,water,2025-11-11
100,growlithe,squirtle,squirtle,350,314,0.5,fire,water,2025-08-15
101,dodrio,tentacool,tentacool,470,335,1.0,normal,water,2025-10-16
102,shellder,lapras,lapras,305,535,0.5,water,water,2025-06-06
103,dodrio,wartortle,dodrio,470,405,1.0,normal,water,2025-10-25
104,paras,dragonite,dragonite,285,600,1.0,bug,dragon,2025-10-23
105,caterpie,sandslash,sandslash,195,450,1.0,bug,ground,2025-09-12
106,magnemite,rhydon,rhydon,325,485,0.0,electric,ground,2025-06-19
107,nidorina,kingler,kingler,365,475,1.0,poison,water,2025-11-30
108,machop,butterfree,butterfree,305,395,0.5,fighting,bug,2026-03-07
109,vaporeon,omanyte,vaporeon,525,355,2.0,water,rock,2025-03-29
110,dugtrio,gengar,dugtrio,425,500,1.0,ground,ghost,2025-04-01
111,dodrio,magnemite,magnemite,470,325,1.0,normal,electric,2026-01-03
112,ponyta,gyarados,gyarados,410,540,0.5,fire,water,2025-08-10
113,doduo,cubone,cubone,310,320,1.0,normal,ground,2025-05-28
114,nidorino,diglett,diglett,365,265,0.5,poison,ground,2025-08-25
115,vileplume,moltres,moltres,490,580,0.5,grass,fire,2025-05-31
116,bulbasaur,rapidash,rapidash,318,500,0.5,grass,fire,2025-07-30
117,dragonite,farfetchd,dragonite,600,377,1.0,dragon,normal,2025-07-24
118,golduck,lapras,lapras,500,535,0.5,water,water,2025-12-11
119,fearow,tentacruel,tentacruel,442,515,1.0,normal,water,2025-04-17
120,seel,arbok,arbok,325,448,1.0,water,poison,2025-11-07
121,slowbro,growlithe,growlithe,490,350,2.0,water,fire,2025-12-22
122,squirtle,butterfree,squirtle,314,395,1.0,water,bug,2025-07-07
123,rattata,seadra,seadra,253,440,1.0,normal,water,2025-04-19
124,dragonair,diglett,diglett,420,265,1.0,dragon,ground,2025-08-23
125,pinsir,exeggutor,pinsir,500,530,2.0,bug,grass,2025-04-06
126,ivysaur,sandslash,sandslash,405,450,2.0,grass,ground,2025-11-15
127,paras,eevee,paras,285,325,1.0,bug,normal,2025-05-26
128,kadabra,nidoran-m,kadabra,400,273,2.0,psychic,poison,2025-07-13
129,flareon,articuno,flareon,525,580,2.0,fire,ice,2025-07-24
130,gyarados,weezing,weezing,540,490,1.0,water,poison,2025-05-31
131,kangaskhan,zubat,zubat,490,245,1.0,normal,poison,2025-07-07
132,horsea,machoke,machoke,295,405,1.0,water,fighting,2025-04-15
133,victreebel,vaporeon,victreebel,490,525,2.0,grass,water,2025-11-05
134,victreebel,chansey,victreebel,490,450,1.0,grass,normal,2025-10-12
135,poliwhirl,weepinbell,weepinbell,385,390,0.5,water,grass,2025-06-04
136,spearow,clefable,spearow,262,483,1.0,normal,fairy,2025-08-23
137,wigglytuff,golduck,wigglytuff,435,500,1.0,normal,water,2025-08-11
138,dodrio,omastar,omastar,470,495,0.5,normal,rock,2026-02-04
139,persian,lickitung,persian,440,385,1.0,normal,normal,2025-05-12
140,charizard,dragonair,charizard,534,420,0.5,fire,dragon,2026-03-04
141,cloyster,ponyta,ponyta,525,410,2.0,water,fire,2025-08-05
142,omanyte,kabuto,kabuto,355,355,1.0,rock,rock,2025-11-15
143,electabuzz,primeape,electabuzz,490,455,1.0,electric,fighting,2025-07-02
144,wartortle,voltorb,wartortle,405,330,1.0,water,electric,2025-03-25
145,cubone,oddish,oddish,320,320,0.5,ground,grass,2026-01-01
146,porygon,squirtle,squirtle,395,314,1.0,normal,water,2025-05-08
147,zapdos,squirtle,zapdos,580,314,2.0,electric,water,2025-07-31
148,clefairy,seaking,clefairy,323,450,1.0,fairy,water,2025-10-25
149,krabby,doduo,krabby,325,310,1.0,water,normal,2025-09-21
150,dewgong,krabby,dewgong,475,325,0.5,water,water,2025-08-04
151,alakazam,spearow,alakazam,500,262,1.0,psychic,normal,2025-06-04
152,kakuna,shellder,kakuna,205,305,1.0,bug,water,2026-01-31
153,metapod,wartortle,wartortle,205,405,1.0,bug,water,2025-11-25
154,charizard,wigglytuff,charizard,534,435,1.0,fire,normal,2025-07-08
155,nidorina,zapdos,zapdos,365,580,1.0,poison,electric,2025-07-12
156,machop,onix,machop,305,385,2.0,fighting,rock,2025-05-01
157,nidorina,golbat,golbat,365,455,0.5,poison,poison,2026-01-11
158,dragonite,squirtle,squirtle,600,314,1.0,dragon,water,2025-05-17
159,hypno,exeggcute,exeggcute,483,325,1.0,psychic,grass,2025-11-26
160,raticate,abra,raticate,413,310,1.0,normal,psychic,2025-10-04
161,nidoqueen,zapdos,zapdos,505,580,1.0,poison,electric,2025-09-11
162,porygon,weezing,weezing,395,490,1.0,normal,poison,2026-01-31
163,gyarados,grimer,gyarados,540,325,1.0,water,poison,2025-08-04
164,magmar,sandslash,magmar,495,450,1.0,fire,ground,2025-09-03
165,goldeen,wigglytuff,wigglytuff,320,435,1.0,water,normal,2025-06-13
166,weepinbell,omanyte,omanyte,390,355,2.0,grass,rock,2025-07-12
167,rhydon,bellsprout,rhydon,485,300,0.5,ground,grass,2025-11-02
168,ekans,tentacool,tentacool,288,335,1.0,poison,water,2025-11-03
169,seaking,moltres,moltres,450,580,2.0,water,fire,2025-08-25
170,dewgong,wartortle,wartortle,475,405,0.5,water,water,2025-09-22
171,parasect,electabuzz,parasect,405,490,1.0,bug,electric,2025-10-26
172,grimer,tentacool,tentacool,325,335,1.0,poison,water,2025-03-13
173,victreebel,snorlax,victreebel,490,540,1.0,grass,normal,2025-11-30
174,fearow,poliwrath,poliwrath,442,510,1.0,normal,water,2025-06-30
175,snorlax,poliwrath,poliwrath,540,510,1.0,normal,water,2025-04-11
176,magmar,kangaskhan,kangaskhan,495,490,1.0,fire,normal,2026-01-19
177,golem,primeape,primeape,495,455,0.5,rock,fighting,2025-11-03
178,slowpoke,dragonite,dragonite,315,600,0.5,water,dragon,2025-05-28
179,flareon,muk,flareon,525,500,1.0,fire,poison,2025-05-30
180,dodrio,cloyster,cloyster,470,525,1.0,normal,water,2025-10-20
181,slowpoke,alakazam,slowpoke,315,500,1.0,water,psychic,2025-11-29
182,magnemite,nidoqueen,nidoqueen,325,505,1.0,electric,poison,2025-03-19
183,venonat,diglett,venonat,305,265,1.0,bug,ground,2025-07-03
184,victreebel,mew,mew,490,600,1.0,grass,psychic,2025-06-12
185,tentacruel,raichu,raichu,515,485,1.0,water,electric,2025-10-07
186,arcanine,haunter,arcanine,555,405,1.0,fire,ghost,2026-02-28
187,porygon,nidorino,porygon,395,365,1.0,normal,poison,2026-02-08
188,aerodactyl,graveler,graveler,515,390,1.0,rock,rock,2026-01-02
189,magmar,sandshrew,sandshrew,495,300,1.0,fire,ground,2025-05-18
190,tentacruel,starmie,starmie,515,520,0.5,water,water,2025-09-14
191,venonat,kakuna,venonat,305,205,1.0,bug,bug,2025-07-06
192,nidorina,pidgeotto,nidorina,365,349,1.0,poison,normal,2026-01-29
193,dragonair,kakuna,dragonair,420,205,1.0,dragon,bug,2025-05-23
194,rapidash,fearow,fearow,500,442,1.0,fire,normal,2026-01-06
195,snorlax,hitmonchan,hitmonchan,540,455,1.0,normal,fighting,2025-04-25
196,growlithe,vaporeon,vaporeon,350,525,0.5,fire,water,2025-07-24
197,ponyta,mew,mew,410,600,1.0,fire,psychic,2025-10-02
198,moltres,pidgey,moltres,580,251,1.0,fire,normal,2026-01-16
199,psyduck,golduck,golduck,320,500,0.5,water,water,2026-01-25
200,zubat,poliwrath,zubat,245,510,1.0,poison,water,2026-01-28
201,zubat,bulbasaur,zubat,245,318,2.0,poison,grass,2025-03-20
202,starmie,graveler,starmie,520,390,2.0,water,rock,2025-10-11
203,tentacruel,seadra,tentacruel,515,440,0.5,water,water,2025-11-08
204,machamp,mew,mew,505,600,0.5,fighting,psychic,2025-11-26
205,koffing,nidorina,nidorina,340,365,0.5,poison,poison,2025-04-10
206,jigglypuff,bellsprout,bellsprout,270,300,1.0,normal,grass,2026-01-30
207,pidgey,oddish,oddish,251,320,1.0,normal,grass,2025-05-07
208,moltres,geodude,moltres,580,300,0.5,fire,rock,2025-07-11
209,rapidash,cubone,cubone,500,320,1.0,fire,ground,2025-06-24
210,omastar,pinsir,omastar,495,500,2.0,rock,bug,2025-05-05
211,metapod,rhyhorn,rhyhorn,205,345,1.0,bug,ground,2025-05-02
212,alakazam,squirtle,alakazam,500,314,1.0,psychic,water,2025-03-27
213,dragonair,mew,mew,420,600,1.0,dragon,psychic,2025-03-28
214,bellsprout,dragonair,bellsprout,300,420,0.5,grass,dragon,2025-12-08
215,starmie,eevee,eevee,520,325,1.0,water,normal,2025-10-16
216,parasect,mewtwo,parasect,405,680,2.0,bug,psychic,2025-06-29
217,arbok,starmie,arbok,448,520,1.0,poison,water,2025-09-18
218,farfetchd,sandshrew,sandshrew,377,300,1.0,normal,ground,2025-09-20
219,hitmonlee,pinsir,hitmonlee,455,500,0.5,fighting,bug,2025-08-14
220,kabutops,caterpie,kabutops,495,195,2.0,rock,bug,2025-09-27
221,alakazam,farfetchd,alakazam,500,377,1.0,psychic,normal,2025-08-13
222,ditto,bulbasaur,bulbasaur,288,318,1.0,normal,grass,2025-06-03
223,seaking,hitmonlee,seaking,450,455,1.0,water,fighting,2025-06-15
224,haunter,tauros,tauros,405,490,0.0,ghost,normal,2026-02-09
225,persian,bellsprout,persian,440,300,1.0,normal,grass,2025-10-11
226,chansey,electabuzz,chansey,450,490,1.0,normal,electric,2025-04-19
227,poliwrath,zubat,poliwrath,510,245,1.0,water,poison,2026-02-28
228,aerodactyl,marowak,aerodactyl,515,425,0.5,rock,ground,2026-01-08
229,seaking,nidoqueen,nidoqueen,450,505,1.0,water,poison,2025-12-19
230,tauros,graveler,graveler,490,390,0.5,normal,rock,2025-10-19
231,hitmonchan,jynx,jynx,455,455,2.0,fighting,ice,2025-11-03
232,seadra,aerodactyl,seadra,440,515,2.0,water,rock,2025-11-30
233,lapras,clefairy,clefairy,535,323,1.0,water,fairy,2025-10-17
234,hitmonchan,grimer,grimer,455,325,0.5,fighting,poison,2025-06-21
235,bellsprout,bulbasaur,bellsprout,300,318,0.5,grass,grass,2025-10-06
236,mew,dragonite,dragonite,600,600,1.0,psychic,dragon,2025-06-30
237,jigglypuff,kangaskhan,kangaskhan,270,490,1.0,normal,normal,2025-09-12
238,seel,aerodactyl,aerodactyl,325,515,2.0,water,rock,2025-08-26
239,seadra,farfetchd,farfetchd,440,377,1.0,water,normal,2025-03-15
240,poliwrath,dratini,poliwrath,510,300,0.5,water,dragon,2025-08-09
241,butterfree,magneton,magneton,395,465,1.0,bug,electric,2025-03-11
242,krabby,kingler,kingler,325,475,0.5,water,water,2025-04-08
243,jigglypuff,pinsir,pinsir,270,500,1.0,normal,bug,2026-01-02
244,magikarp,dodrio,dodrio,200,470,1.0,water,normal,2025-07-25
245,raichu,jolteon,jolteon,485,525,0.5,electric,electric,2026-02-28
246,vulpix,marowak,marowak,299,425,1.0,fire,ground,2025-12-18
247,raticate,starmie,starmie,413,520,1.0,normal,water,2025-10-23
248,dewgong,exeggcute,exeggcute,475,325,0.5,water,grass,2025-09-20
249,porygon,krabby,krabby,395,325,1.0,normal,water,2025-04-21
250,electabuzz,omastar,electabuzz,490,495,1.0,electric,rock,2026-01-31
251,poliwhirl,geodude,geodude,385,300,2.0,water,rock,2026-01-20
252,rhydon,raichu,raichu,485,485,2.0,ground,electric,2025-03-12
253,raichu,tangela,raichu,485,435,0.5,electric,grass,2025-10-05
254,wartortle,butterfree,wartortle,405,395,1.0,water,bug,2026-02-07
255,golem,gastly,golem,495,310,1.0,rock,ghost,2025-12-23
256,abra,flareon,flareon,310,525,1.0,psychic,fire,2025-03-23
257,parasect,gloom,parasect,405,395,2.0,bug,grass,2025-04-29
258,krabby,poliwrath,poliwrath,325,510,0.5,water,water,2025-05-13
259,vulpix,poliwag,poliwag,299,300,0.5,fire,water,2025-10-28
260,goldeen,machop,machop,320,305,1.0,water,fighting,2025-07-12
261,geodude,kabuto,geodude,300,355,1.0,rock,rock,2025-07-24
262,muk,mew,muk,500,600,1.0,poison,psychic,2025-08-02
263,alakazam,seadra,seadra,500,440,1.0,psychic,water,2025-11-26
264,kingler,jynx,kingler,475,455,1.0,water,ice,2025-08-24
265,dratini,gastly,gastly,300,310,1.0,dragon,ghost,2025-03-14
266,golem,charizard,charizard,495,534,2.0,rock,fire,2025-04-04
267,exeggcute,victreebel,exeggcute,325,490,0.5,grass,grass,2025-03-21
268,weedle,tauros,tauros,195,490,1.0,bug,normal,2025-10-12
269,arcanine,cloyster,arcanine,555,525,0.5,fire,water,2025-11-30
270,alakazam,clefable,clefable,500,483,1.0,psychic,fairy,2025-04-20
271,metapod,slowbro,slowbro,205,490,1.0,bug,water,2026-02-18
272,dragonite,gengar,gengar,600,500,1.0,dragon,ghost,2026-01-20
273,golem,doduo,doduo,495,310,1.0,rock,normal,2025-12-08
274,meowth,nidoking,nidoking,290,505,1.0,normal,poison,2025-09-01
275,flareon,magikarp,magikarp,525,200,0.5,fire,water,2025-12-13
276,machop,jynx,jynx,305,455,2.0,fighting,ice,2025-10-07
277,dewgong,nidorina,dewgong,475,365,1.0,water,poison,2026-01-28
278,vulpix,growlithe,growlithe,299,350,0.5,fire,fire,2025-03-27
279,exeggcute,snorlax,exeggcute,325,540,1.0,grass,normal,2025-08-17
280,charmander,machamp,machamp,309,505,1.0,fire,fighting,2025-07-18
281,onix,machamp,machamp,385,505,0.5,rock,fighting,2025-04-15
282,drowzee,sandslash,sandslash,328,450,1.0,psychic,ground,2025-07-09
283,squirtle,articuno,squirtle,314,580,1.0,water,ice,2025-04-29
284,primeape,pidgeotto,primeape,455,349,2.0,fighting,normal,2025-07-13
285,rapidash,marowak,rapidash,500,425,1.0,fire,ground,2026-02-12
286,caterpie,rapidash,rapidash,195,500,0.5,bug,fire,2026-01-07
287,pikachu,poliwhirl,poliwhirl,320,385,2.0,electric,water,2025-12-28
288,voltorb,seadra,voltorb,330,440,2.0,electric,water,2025-03-16
289,omastar,lickitung,lickitung,495,385,1.0,rock,normal,2025-12-18
290,hitmonchan,raichu,raichu,455,485,1.0,fighting,electric,2025-04-26
291,marowak,tentacool,marowak,425,335,1.0,ground,water,2025-08-30
292,mankey,tangela,tangela,305,435,1.0,fighting,grass,2025-11-07
293,haunter,raichu,raichu,405,485,1.0,ghost,electric,2025-08-31
294,kabuto,gastly,kabuto,355,310,1.0,rock,ghost,2025-10-17
295,venomoth,nidoran-m,nidoran-m,450,273,0.5,bug,poison,2025-07-18
296,arbok,golduck,golduck,448,500,1.0,poison,water,2025-05-06
297,charizard,weedle,charizard,534,195,2.0,fire,bug,2025-11-03
298,nidorino,zapdos,nidorino,365,580,1.0,poison,electric,2025-05-28
299,psyduck,mew,psyduck,320,600,1.0,water,psychic,2025-11-08
300,dodrio,ninetales,ninetales,470,505,1.0,normal,fire,2025-05-06
301,bulbasaur,victreebel,victreebel,318,490,0.5,grass,grass,2025-12-23
302,nidoking,omastar,nidoking,505,495,0.5,poison,rock,2025-12-08
303,nidoran-f,squirtle,nidoran-f,275,314,1.0,poison,water,2025-09-05
304,poliwhirl,mew,poliwhirl,385,600,1.0,water,psychic,2025-12-08
305,machamp,kakuna,machamp,505,205,0.5,fighting,bug,2025-08-04
306,jolteon,nidorina,nidorina,525,365,1.0,electric,poison,2025-07-07
307,kangaskhan,haunter,haunter,490,405,0.0,normal,ghost,2026-01-11
308,horsea,magikarp,horsea,295,200,0.5,water,water,2025-04-27
309,butterfree,vaporeon,butterfree,395,525,1.0,bug,water,2025-04-12
310,wartortle,pidgey,pidgey,405,251,1.0,water,normal,2025-08-14
311,weezing,sandslash,sandslash,490,450,0.5,poison,ground,2025-07-23
312,rattata,spearow,rattata,253,262,1.0,normal,normal,2025-12-22
313,pidgeotto,nidorino,pidgeotto,349,365,1.0,normal,poison,2025-04-17
314,mewtwo,kabutops,kabutops,680,495,1.0,psychic,rock,2025-08-24
315,flareon,golem,golem,525,495,0.5,fire,rock,2025-05-02
316,rhyhorn,raichu,raichu,345,485,2.0,ground,electric,2026-01-08
317,aerodactyl,mankey,aerodactyl,515,305,0.5,rock,fighting,2025-11-11
318,hitmonlee,dewgong,dewgong,455,475,1.0,fighting,water,2025-08-15
319,hitmonchan,pikachu,hitmonchan,455,320,1.0,fighting,electric,2025-09-28
320,machop,drowzee,drowzee,305,328,0.5,fighting,psychic,2025-03-21
321,mr-mime,pidgeot,mr-mime,460,479,1.0,psychic,normal,2026-01-23
322,arbok,rhyhorn,arbok,448,345,0.5,poison,ground,2025-08-29
323,nidoking,snorlax,nidoking,505,540,1.0,poison,normal,2025-05-24
324,articuno,dodrio,dodrio,580,470,1.0,ice,normal,2025-08-09
325,cloyster,koffing,koffing,525,340,1.0,water,poison,2026-02-09
326,geodude,slowbro,geodude,300,490,1.0,rock,water,2025-05-16
327,gyarados,golduck,gyarados,540,500,0.5,water,water,2025-07-04
328,growlithe,sandslash,growlithe,350,450,1.0,fire,ground,2025-05-27
329,onix,nidorina,nidorina,385,365,1.0,rock,poison,2025-05-18
330,growlithe,weezing,weezing,350,490,1.0,fire,poison,2025-04-23
331,snorlax,squirtle,snorlax,540,314,1.0,normal,water,2025-04-05
332,bellsprout,wartortle,bellsprout,300,405,2.0,grass,water,2025-03-13
333,slowbro,dewgong,dewgong,490,475,0.5,water,water,2025-12-05
334,vulpix,zapdos,zapdos,299,580,1.0,fire,electric,2026-01-31
335,vulpix,wartortle,vulpix,299,405,0.5,fire,water,2025-06-09
336,mankey,hypno,hypno,305,483,0.5,fighting,psychic,2025-09-14
337,zubat,onix,onix,245,385,0.5,poison,rock,2025-09-22
338,moltres,fearow,fearow,580,442,1.0,fire,normal,2025-12-18
339,zubat,weedle,weedle,245,195,1.0,poison,bug,2025-10-19
340,tangela,koffing,koffing,435,340,0.5,grass,poison,2025-07-24
341,hitmonchan,weepinbell,hitmonchan,455,390,1.0,fighting,grass,2025-06-18
342,nidorina,muk,muk,365,500,0.5,poison,poison,2025-10-13
343,electabuzz,jolteon,jolteon,490,525,0.5,electric,electric,2026-02-12
344,primeape,exeggcute,exeggcute,455,325,1.0,fighting,grass,2026-02-07
345,ivysaur,persian,ivysaur,405,440,1.0,grass,normal,2025-11-19
346,clefable,machop,clefable,483,305,2.0,fairy,fighting,2026-01-05
347,ivysaur,tauros,tauros,405,490,1.0,grass,normal,2025-12-08
348,nidoking,krabby,nidoking,505,325,1.0,poison,water,2025-11-10
349,magikarp,articuno,articuno,200,580,1.0,water,ice,2025-09-07
350,rattata,exeggcute,exeggcute,253,325,1.0,normal,grass,2026-02-14
351,rhydon,charmeleon,rhydon,485,405,2.0,ground,fire,2026-01-27
352,magnemite,dragonair,dragonair,325,420,0.5,electric,dragon,2025-08-12
353,hitmonchan,graveler,hitmonchan,455,390,2.0,fighting,rock,2026-02-25
354,doduo,gloom,gloom,310,395,1.0,normal,grass,2025-04-25
355,goldeen,haunter,goldeen,320,405,1.0,water,ghost,2026-01-12
356,abra,rhydon,rhydon,310,485,1.0,psychic,ground,2025-06-12
357,spearow,exeggcute,exeggcute,262,325,1.0,normal,grass,2025-09-15
358,primeape,seel,seel,455,325,1.0,fighting,water,2026-01-27
359,lapras,nidorina,lapras,535,365,1.0,water,poison,2025-11-28
360,shellder,ninetales,shellder,305,505,2.0,water,fire,2025-12-23
361,machop,dugtrio,machop,305,425,1.0,fighting,ground,2025-12-19
362,raticate,paras,paras,413,285,1.0,normal,bug,2025-04-20
363,pinsir,seaking,seaking,500,450,1.0,bug,water,2025-05-15
364,kangaskhan,zapdos,zapdos,490,580,1.0,normal,electric,2025-04-22
365,farfetchd,magnemite,farfetchd,377,325,1.0,normal,electric,2026-02-01
366,starmie,tangela,tangela,520,435,0.5,water,grass,2025-10-18
367,beedrill,cloyster,cloyster,395,525,1.0,bug,water,2025-09-30
368,seaking,horsea,seaking,450,295,0.5,water,water,2025-08-31
369,geodude,raticate,raticate,300,413,1.0,rock,normal,2026-01-20
370,gyarados,kingler,kingler,540,475,0.5,water,water,2025-05-28
371,metapod,horsea,horsea,205,295,1.0,bug,water,2025-05-19
372,venomoth,farfetchd,farfetchd,450,377,1.0,bug,normal,2025-06-24
